Date,Subways: Total Estimated Ridership,Subways: % of Comparable Pre-Pandemic Day,Buses: Total Estimated Ridership,Buses: % of Comparable Pre-Pandemic Day,LIRR: Total Estimated Ridership,LIRR: % of Comparable Pre-Pandemic Day,Metro-North: Total Estimated Ridership,Metro-North: % of Comparable Pre-Pandemic Day,Access-A-Ride: Total Scheduled Trips,Access-A-Ride: % of Comparable Pre-Pandemic Day,Bridges and Tunnels: Total Traffic,Bridges and Tunnels: % of Comparable Pre-Pandemic Day,Staten Island Railway: Total Estimated Ridership,Staten Island Railway: % of Comparable Pre-Pandemic Day
01/01/2023,1675507,80,475226,52,67722,82,66309,73,11476,85,737533,108,1771,65
01/02/2023,1938154,93,739507,81,76247,92,72403,80,10136,75,692984,102,2671,98
01/03/2023,3175777,62,1268913,62,179109,59,167136,62,24868,88,815532,94,6853,42
01/04/2023,3413052,66,1391449,68,182834,61,170847,63,26848,95,839120,97,7282,44
01/05/2023,3428520,67,1378698,67,175278,58,166642,62,26808,95,859218,99,7042,43
01/06/2023,3229858,63,1319595,64,161259,53,142524,53,25824,91,873654,101,6050,37
01/07/2023,2116138,78,806981,67,87215,90,85244,66,14828,102,808570,106,2297,56
01/08/2023,1610764,77,628612,68,68647,83,64893,72,15157,112,739656,108,1529,56
01/09/2023,3145743,61,1353638,66,173594,57,157335,58,24923,88,829372,95,6629,40
01/10/2023,3469177,67,1412543,69,196817,65,179530,67,27309,97,859974,99,7414,45
01/11/2023,3508962,68,1421914,69,188904,63,174349,65,27991,99,864282,99,7166,44
01/12/2023,3472709,68,1364715,67,188850,62,168701,63,27119,96,881579,101,7150,44
01/13/2023,3270020,64,1345748,66,167475,55,147885,55,26085,92,922864,106,6042,37
01/14/2023,2072387,77,785952,66,84718,87,83565,64,15407,106,817979,107,2059,50
01/15/2023,1705804,82,621041,68,72479,88,70493,78,15198,113,757778,111,1510,55
01/16/2023,2172218,104,884152,96,82416,100,75892,84,14617,108,812347,119,3140,115
01/17/2023,3451604,67,1399573,68,193345,64,183674,68,27214,96,870650,100,7492,46
01/18/2023,3603344,70,1449590,71,198264,66,182209,68,29223,103,877542,101,7488,46
01/19/2023,3492226,68,1327804,65,179752,59,170122,63,26737,95,862336,99,6925,42
01/20/2023,3375887,66,1383181,68,173943,58,150003,56,26548,94,915022,105,6192,38
01/21/2023,2137169,79,823236,69,88435,91,84763,65,15580,107,826850,108,2058,50
01/22/2023,1593386,76,611151,67,64883,78,61728,68,14721,109,744230,109,1479,54
01/23/2023,3135214,61,1281037,63,172927,57,155439,58,25087,89,809261,93,6210,38
01/24/2023,3566756,69,1410676,69,196319,65,182127,68,27701,98,863886,99,7335,45
01/25/2023,3511071,68,1342717,66,188247,62,171748,64,26738,95,815210,94,6937,42
01/26/2023,3629029,71,1408545,69,190219,63,173696,65,27061,96,890830,103,7093,43
01/27/2023,3335372,65,1341589,66,178881,59,149763,56,26826,95,920095,106,6051,37
01/28/2023,2248107,83,861680,72,98609,101,89845,69,15577,107,841863,110,2333,57
01/29/2023,1637398,78,647923,71,73109,88,65422,72,15371,114,764625,112,1694,62
01/30/2023,3223530,63,1371537,67,180476,60,159176,59,25676,91,850406,98,6624,40
01/31/2023,3654404,71,1365926,67,198755,66,183484,68,27308,97,852930,98,7593,46
02/01/2023,3682758,68,1460146,68,184043,61,169846,63,28492,97,868518,98,7588,47
02/02/2023,3699932,68,1478477,69,187799,62,169864,63,27917,95,894790,101,7457,46
02/03/2023,3189550,59,1246821,58,158579,52,135908,50,26238,89,887417,100,5819,36
02/04/2023,1742435,61,598818,47,69433,74,64032,49,13439,83,737000,89,1555,36
02/05/2023,1625375,74,650623,67,69379,89,62639,69,15413,91,758529,101,1522,54
02/06/2023,3372445,62,1431232,67,181320,60,157813,59,26639,91,849008,96,7068,44
02/07/2023,3738539,69,1491417,69,201438,67,183389,68,28688,97,867827,98,7736,48
02/08/2023,3780682,70,1513135,70,197370,65,180852,67,29653,101,884755,100,7647,47
02/09/2023,3754859,69,1462622,68,193326,64,172507,64,28515,97,909007,103,7403,46
02/10/2023,3539529,65,1422781,66,179637,59,154760,57,28094,95,947991,107,6477,40
02/11/2023,2333625,81,865782,68,94434,101,88281,67,16638,102,865505,104,1615,38
02/12/2023,1746099,80,659496,68,67457,86,63383,69,16305,97,749533,99,1227,44
02/13/2023,3303337,61,1381524,64,180002,59,159741,59,25900,88,854394,97,6188,38
02/14/2023,3812943,70,1480867,69,200327,66,179811,67,29001,99,897813,102,7557,47
02/15/2023,3762817,69,1499155,70,197344,65,181992,68,29119,99,904926,102,7491,46
02/16/2023,3683782,68,1461093,68,189802,63,172189,64,28364,96,915758,104,7318,45
02/17/2023,3253165,60,1315466,61,172113,57,150151,56,26759,91,936689,106,5892,36
02/18/2023,2271106,79,822505,65,91478,98,93213,71,15612,96,860646,103,1266,30
02/19/2023,1824136,83,639980,66,75448,97,75064,82,16165,96,784650,104,959,34
02/20/2023,2238557,102,929439,95,90371,116,79984,88,14818,88,809578,107,1547,55
02/21/2023,3325542,61,1273578,59,194967,64,174283,65,27224,93,864047,98,6525,40
02/22/2023,3454362,64,1305744,61,193753,64,171187,64,27895,95,869960,98,6538,40
02/23/2023,3498367,64,1328927,62,188438,62,167193,62,27336,93,906322,103,6695,41
02/24/2023,3246699,60,1246797,58,179793,59,153058,57,26077,89,928057,105,5551,34
02/25/2023,2043635,71,800947,63,86403,92,81742,62,15461,95,831613,100,1396,33
02/26/2023,1625191,74,676041,69,74226,95,67702,74,15891,94,807475,107,1095,39
02/27/2023,3337916,62,1423292,66,180277,60,160346,60,26730,91,854625,97,6752,42
02/28/2023,3412079,63,1349173,63,177532,59,139326,52,26116,89,751643,85,6690,41
03/01/2023,3780713,68,1511792,67,192142,61,176661,64,29449,99,901530,98,7403,46
03/02/2023,3765925,68,1493623,67,195243,62,176678,64,28978,97,934427,101,7434,47
03/03/2023,3481830,63,1417670,63,172623,55,150603,55,27298,92,933992,101,6167,39
03/04/2023,2173217,71,870341,65,96720,90,84352,62,16263,96,844751,97,1449,29
03/05/2023,1772121,77,712408,72,81079,93,72918,77,16956,96,831376,103,1215,39
03/06/2023,3427019,62,1460599,65,185896,59,163314,59,27550,93,875696,95,6849,43
03/07/2023,3773780,68,1490272,66,205559,66,186615,68,28417,96,887227,96,7607,48
03/08/2023,3842861,69,1514182,68,203258,65,186940,68,30476,102,918426,100,7452,47
03/09/2023,3827656,69,1515155,68,201711,64,186197,68,29847,100,944406,102,7211,45
03/10/2023,3502339,63,1408909,63,182873,58,160550,58,28209,95,964271,105,6135,38
03/11/2023,2230530,73,821990,62,78979,73,88667,65,15493,91,842108,97,1796,35
03/12/2023,1773585,77,686039,69,75970,88,70403,75,16644,94,832873,103,1547,49
03/13/2023,3352388,60,1377045,61,179787,57,157310,57,26027,88,852961,93,6358,40
03/14/2023,3577250,64,1360497,61,189402,60,159031,58,26262,88,775384,84,6866,43
03/15/2023,3912366,70,1493605,67,205092,65,187128,68,29687,100,916918,100,7473,47
03/16/2023,3949788,71,1522248,68,209838,67,187573,68,30151,101,976134,106,7562,47
03/17/2023,3661519,66,1408472,63,199191,64,171443,62,28094,94,965113,105,6790,43
03/18/2023,2417873,79,921569,69,102021,95,101788,75,16828,99,924274,106,1839,36
